0.0,0.0,0.0
0.25,0.0,0.0
0.5,0.0,0.0
0.75,0.0,0.0
1.0,1.0,1.0
0.0,0.25,0.0
0.25,0.25,0.0
0.5,0.25,0.0
0.75,0.25,0.0
0.9583,0.9583,0.9583
0.0,0.5,0.0
0.25,0.5,0.0
0.5,0.5,0.0
0.75,0.5,0.0
0.9166,0.9166,0.9166
0.0,0.75,0.0
0.25,0.75,0.0
0.5,0.75,0.0
0.75,0.75,0.0
0.875,0.875,0.875
0.6666,0.6666,0.6666
0.7083,0.7083,0.7083
0.75,0.75,0.75
0.7916,0.7916,0.7916
0.8333,0.8333,0.8333
0.0,0.0,0.25
0.25,0.0,0.25
0.5,0.0,0.25
0.75,0.0,0.25
0.0416,0.0416,0.0416
0.0,0.25,0.25
0.25,0.25,0.25
0.5,0.25,0.25
0.75,0.25,0.25
1.0,0.25,0.25
0.0,0.5,0.25
0.25,0.5,0.25
0.5,0.5,0.25
0.75,0.5,0.25
1.0,0.5,0.25
0.0,0.75,0.25
0.25,0.75,0.25
0.5,0.75,0.25
0.75,0.75,0.25
1.0,0.75,0.25
0.625,0.625,0.625
0.25,1.0,0.25
0.5,1.0,0.25
0.75,1.0,0.25
1.0,1.0,0.25
0.0,0.0,0.5
0.25,0.0,0.5
0.5,0.0,0.5
0.75,0.0,0.5
0.0833,0.0833,0.0833
0.0,0.25,0.5
0.25,0.25,0.5
0.5,0.25,0.5
0.75,0.25,0.5
1.0,0.25,0.5
0.0,0.5,0.5
0.25,0.5,0.5
0.5,0.5,0.5
0.75,0.5,0.5
1.0,0.5,0.5
0.0,0.75,0.5
0.25,0.75,0.5
0.5,0.75,0.5
0.75,0.75,0.5
1.0,0.75,0.5
0.5833,0.5833,0.5833
0.25,1.0,0.5
0.5,1.0,0.5
0.75,1.0,0.5
1.0,1.0,0.5
0.0,0.0,0.75
0.25,0.0,0.75
0.5,0.0,0.75
0.75,0.0,0.75
0.125,0.125,0.125
0.0,0.25,0.75
0.25,0.25,0.75
0.5,0.25,0.75
0.75,0.25,0.75
1.0,0.25,0.75
0.0,0.5,0.75
0.25,0.5,0.75
0.5,0.5,0.75
0.75,0.5,0.75
1.0,0.5,0.75
0.0,0.75,0.75
0.25,0.75,0.75
0.5,0.75,0.75
0.75,0.75,0.75
1.0,0.75,0.75
0.5416,0.5416,0.5416
0.25,1.0,0.75
0.5,1.0,0.75
0.75,1.0,0.75
1.0,1.0,0.75
0.3333,0.3333,0.3333
0.2916,0.2916,0.2916
0.25,0.25,0.25
0.2083,0.2083,0.2083
0.1666,0.1666,0.1666
0.375,0.375,0.375
0.25,0.25,1.0
0.5,0.25,1.0
0.75,0.25,1.0
1.0,0.25,1.0
0.4166,0.4166,0.4166
0.25,0.5,1.0
0.5,0.5,1.0
0.75,0.5,1.0
1.0,0.5,1.0
0.4583,0.4583,0.4583
0.25,0.75,1.0
0.5,0.75,1.0
0.75,0.75,1.0
1.0,0.75,1.0
0.5,0.5,0.5
0.25,1.0,1.0
0.5,1.0,1.0
0.75,1.0,1.0
1.0,1.0,1.0
